bin_N,bin_ncpr,bin_fcr,bin_kappa,n_raw,n_after_dedup,quota,n_picked
0,0,0,0,12,12,1,1
0,0,0,1,52,52,2,2
0,0,0,2,30,30,1,1
0,0,1,0,42,41,2,2
0,0,1,1,152,150,3,3
0,0,1,2,115,114,3,3
0,0,2,0,44,43,2,2
0,0,2,1,118,116,3,3
0,0,2,2,191,184,4,4
0,1,0,0,100,99,3,3
0,1,0,1,370,366,5,5
0,1,0,2,353,351,5,5
0,1,1,0,204,199,4,4
0,1,1,1,280,275,4,4
0,1,1,2,184,182,4,4
0,1,2,0,95,94,3,3
0,1,2,1,110,107,3,3
0,1,2,2,78,78,2,2
0,2,0,0,262,258,4,4
0,2,0,1,678,667,7,7
0,2,0,2,895,876,8,8
0,2,1,0,263,259,4,4
0,2,1,1,321,316,5,5
0,2,1,2,198,196,4,4
0,2,2,0,117,116,3,3
0,2,2,1,109,108,3,3
0,2,2,2,80,80,2,2
0,3,0,0,185,182,4,4
0,3,0,1,530,526,6,6
0,3,0,2,472,459,6,6
0,3,1,0,160,158,3,3
0,3,1,1,258,250,4,4
0,3,1,2,181,181,4,4
0,3,2,0,77,74,2,2
0,3,2,1,87,85,2,2
0,3,2,2,54,53,2,2
0,4,0,0,46,46,2,2
0,4,0,1,108,107,3,3
0,4,0,2,67,66,2,2
0,4,1,0,40,40,2,2
0,4,1,1,112,111,3,3
0,4,1,2,64,64,2,2
0,4,2,0,31,27,1,1
0,4,2,1,79,78,2,2
0,4,2,2,55,55,2,2
1,0,0,0,7,7,1,1
1,0,0,1,34,34,2,2
1,0,0,2,11,11,1,1
1,0,1,0,26,26,1,1
1,0,1,1,116,116,3,3
1,0,1,2,79,79,2,2
1,0,2,0,17,15,1,1
1,0,2,1,90,87,2,2
1,0,2,2,147,146,3,3
1,1,0,0,123,122,3,3
1,1,0,1,451,442,6,6
1,1,0,2,200,200,4,4
1,1,1,0,143,141,3,3
1,1,1,1,463,454,6,6
1,1,1,2,201,201,4,4
1,1,2,0,51,51,2,2
1,1,2,1,107,106,3,3
1,1,2,2,98,97,3,3
1,2,0,0,370,367,5,5
1,2,0,1,1192,1179,9,9
1,2,0,2,654,642,7,7
1,2,1,0,277,254,4,4
1,2,1,1,569,550,6,6
1,2,1,2,234,232,4,4
1,2,2,0,95,91,3,3
1,2,2,1,132,131,3,3
1,2,2,2,80,80,2,2
1,3,0,0,204,201,4,4
1,3,0,1,664,656,7,7
1,3,0,2,288,275,4,4
1,3,1,0,138,136,3,3
1,3,1,1,419,402,5,5
1,3,1,2,161,158,3,3
1,3,2,0,51,51,2,2
1,3,2,1,105,104,3,3
1,3,2,2,55,55,2,2
1,4,0,0,11,11,1,1
1,4,0,1,44,44,2,2
1,4,0,2,8,8,1,1
1,4,1,0,27,27,1,1
1,4,1,1,70,68,2,2
1,4,1,2,28,27,1,1
1,4,2,0,13,13,1,1
1,4,2,1,41,40,2,2
1,4,2,2,17,17,1,1
2,0,0,0,4,4,1,1
2,0,0,1,16,16,1,1
2,0,0,2,4,4,1,1
2,0,1,0,4,4,1,1
2,0,1,1,58,56,2,2
2,0,1,2,38,38,2,2
2,0,2,0,6,6,1,1
2,0,2,1,37,36,2,2
2,0,2,2,61,61,2,2
2,1,0,0,64,61,2,2
2,1,0,1,393,391,5,5
2,1,0,2,68,68,2,2
2,1,1,0,82,81,2,2
2,1,1,1,422,393,5,5
2,1,1,2,138,138,3,3
2,1,2,0,10,10,1,1
2,1,2,1,65,60,2,2
2,1,2,2,53,48,2,2
2,2,0,0,308,306,5,5
2,2,0,1,1525,1494,10,10
2,2,0,2,321,314,5,5
2,2,1,0,242,237,4,4
2,2,1,1,765,729,7,7
2,2,1,2,178,176,4,4
2,2,2,0,48,47,2,2
2,2,2,1,102,101,3,3
2,2,2,2,57,45,2,2
2,3,0,0,84,78,2,2
2,3,0,1,444,422,5,5
2,3,0,2,75,66,2,2
2,3,1,0,77,76,2,2
2,3,1,1,275,273,4,4
2,3,1,2,51,47,2,2
2,3,2,0,24,24,1,1
2,3,2,1,42,41,2,2
2,3,2,2,20,20,1,1
2,4,0,0,4,4,1,1
2,4,0,1,8,8,1,1
2,4,0,2,1,1,1,1
2,4,1,0,7,7,1,1
2,4,1,1,14,14,1,1
2,4,1,2,5,5,1,1
2,4,2,0,10,8,1,1
2,4,2,1,24,23,1,1
2,4,2,2,8,8,1,1
3,0,0,1,3,3,1,1
3,0,0,2,2,2,1,1
3,0,1,1,20,19,1,1
3,0,1,2,14,14,1,1
3,0,2,0,1,1,1,1
3,0,2,1,15,15,1,1
3,0,2,2,14,13,1,1
3,1,0,0,22,21,1,1
3,1,0,1,255,233,4,4
3,1,0,2,41,41,2,2
3,1,1,0,40,40,2,2
3,1,1,1,254,251,4,4
3,1,1,2,66,64,2,2
3,1,2,0,13,12,1,1
3,1,2,1,41,36,2,2
3,1,2,2,28,28,1,1
3,2,0,0,222,215,4,4
3,2,0,1,1222,1157,9,9
3,2,0,2,97,93,3,3
3,2,1,0,141,137,3,3
3,2,1,1,558,551,6,6
3,2,1,2,74,73,2,2
3,2,2,0,32,28,1,1
3,2,2,1,54,50,2,2
3,2,2,2,26,26,1,1
3,3,0,0,42,38,2,2
3,3,0,1,149,140,3,3
3,3,0,2,5,5,1,1
3,3,1,0,25,24,1,1
3,3,1,1,107,103,3,3
3,3,1,2,10,10,1,1
3,3,2,0,6,6,1,1
3,3,2,1,19,19,1,1
3,3,2,2,8,8,1,1
3,4,0,1,2,2,1,1
3,4,1,1,8,8,1,1
3,4,2,0,2,2,1,1
3,4,2,1,5,5,1,1
4,0,1,0,1,1,1,1
4,0,1,1,4,4,1,1
4,0,1,2,2,2,1,1
4,0,2,0,1,1,1,1
4,0,2,1,6,6,1,1
4,0,2,2,4,4,1,1
4,1,0,0,7,7,1,1
4,1,0,1,88,86,2,2
4,1,0,2,6,6,1,1
4,1,1,0,16,16,1,1
4,1,1,1,129,122,3,3
4,1,1,2,26,22,1,1
4,1,2,0,9,9,1,1
4,1,2,1,20,17,1,1
4,1,2,2,3,3,1,1
4,2,0,0,114,114,3,3
4,2,0,1,773,750,7,7
4,2,0,2,31,30,1,1
4,2,1,0,52,52,2,2
4,2,1,1,317,310,5,5
4,2,1,2,22,22,1,1
4,2,2,0,20,20,1,1
4,2,2,1,26,25,1,1
4,2,2,2,5,5,1,1
4,3,0,0,7,7,1,1
4,3,0,1,46,33,2,2
4,3,0,2,2,2,1,1
4,3,1,0,12,7,1,1
4,3,1,1,31,27,1,1
4,3,1,2,2,2,1,1
4,3,2,0,5,5,1,1
4,3,2,1,6,6,1,1
4,3,2,2,1,1,1,1
4,4,0,0,2,2,1,1
4,4,1,0,1,1,1,1
4,4,1,1,2,2,1,1
4,4,1,2,1,1,1,1
4,4,2,1,3,3,1,1
